ascitesom ascites
bakteriemije bakteriemija
bakterij bakterije
bakterija bakterije
blažje blago
bolike oblika
hiperplaziji hiperplazija
hude huda
jeter hepatom
jetra hepatom
jetrni hepatom
koma komaXX
noht nohti
nohtov nohti
okožbe okužba
proti protiX
protin protinXXX
zvečan zvečan
zvečana zvečan
zvečano zvečan
zvin  zvinXX
šen šenxx
ušes uho
ušesa uho
žrela žrelo
nosu nos
kok koki
odraslih odrasli
otrocih otroci
druge druga
2 druga
tretje tretja
3 tretja
piki pik
razjed razjeda
razjede razjeda
želodcu želodec
povišan upup
povečan upup
zvečan upup
zvečano upup
zvečana upup
povečana upup
povišana upup
starejših starejšiXX
